make,model,location,color,price_in_Ksh,year_of_manufacture,transmission,mileage_in_km,fuel,foreign_local,review_score
nissan,note,Nairobi,grey,700000,2011,Manual,87582,Petrol,Foreign,4.333333333333333
nissan,x-trail,Nairobi,white,2390000,2014,Automatic,46000,Petrol,Foreign,3.75
honda,fit,Nairobi,grey,780000,2011,Automatic,74943,Petrol,Foreign,4.666666666666667
toyota,fielder,Eldoret,silver,650000,2004,Automatic,NA,Petrol,Local,4.6
nissan,patrol,Nairobi,Not-specified,12500000,2018,Unknown,NA,Petrol,Brand,3.3333333333333335
toyota,premio,Eldoret,blue,650000,2002,Automatic,NA,Petrol,Local,4.764705882352941
nissan,skyline,Nairobi,white,1000000,2011,Automatic,119000,Petrol,Local,3
mercedes-benz,gla,Mombasa,white,5800000,2018,Automatic,45000,Petrol,Foreign,3
subaru,xv,Mombasa,silver,2200000,2013,Automatic,50000,Petrol,Foreign,3
subaru,xv,Mombasa,Not-specified,2100000,2013,Automatic,64000,Petrol,Foreign,3
subaru,forester,Mombasa,silver,2300000,2013,Automatic,108000,Petrol,Foreign,4.636363636363637
subaru,forester,Mombasa,silver,2300000,2013,Automatic,52000,Petrol,Foreign,4.636363636363637
subaru,forester,Mombasa,Not-specified,2300000,2013,Automatic,99000,Petrol,Foreign,4.636363636363637
subaru,forester,Mombasa,Not-specified,2250000,2013,Automatic,60000,Petrol,Foreign,4.636363636363637
subaru,forester,Mombasa,silver,2500000,2014,Automatic,990000,Petrol,Foreign,4.636363636363637
subaru,forester,Mombasa,Not-specified,2500000,2013,Automatic,26000,Petrol,Foreign,4.636363636363637
subaru,forester,Mombasa,red,2500000,2013,Automatic,74000,Petrol,Foreign,4.636363636363637
subaru,forester,Mombasa,Not-specified,2450000,2013,Automatic,86000,Petrol,Foreign,4.636363636363637
subaru,forester,Mombasa,red,2500000,2013,Automatic,71000,Petrol,Foreign,4.636363636363637
subaru,forester,Mombasa,gold,2700000,2013,Automatic,92000,Petrol,Foreign,4.636363636363637
subaru,legacy,Mombasa,red,1650000,2013,Automatic,35000,Petrol,Foreign,4.666666666666667
subaru,legacy,Mombasa,Not-specified,1650000,2013,Automatic,79000,Petrol,Foreign,4.666666666666667
mercedes-benz,e250,Mombasa,silver,2800000,2013,Automatic,32000,Petrol,Foreign,3
mercedes-benz,c180,Mombasa,black,2450000,2013,Automatic,24000,Petrol,Foreign,3.6666666666666665
subaru,forester,Nairobi,Not-specified,2190000,2013,Automatic,60000,Petrol,Local,4.636363636363637
subaru,forester,Mombasa,gold,2650000,2013,Automatic,81000,Petrol,Foreign,4.636363636363637
subaru,impreza,Nairobi,silver,1350000,2012,Automatic,60000,Petrol,Foreign,4.714285714285714
mitsubishi,pajero,Mombasa,silver,3500000,2012,Automatic,59000,Petrol,Foreign,4
subaru,wrx,Nairobi,Not-specified,2950000,2015,Automatic,40000,Other,Foreign,3
mercedes-benz,e250,Mombasa,silver,4500000,2014,Automatic,16000,Petrol,Foreign,3
toyota,land,Mombasa,Not-specified,8950000,2014,Automatic,34000,Petrol,Foreign,4.555555555555555
toyota,land,Mombasa,black,12000000,2015,Automatic,12000,Petrol,Foreign,4.555555555555555
honda,cr-v,Mombasa,Not-specified,2300000,2012,Automatic,33000,Petrol,Foreign,4.333333333333333
subaru,outback,Mombasa,silver,2600000,2012,Automatic,113000,Petrol,Foreign,4.2
subaru,forester,Mombasa,black,2450000,2013,Automatic,60000,Petrol,Foreign,4.636363636363637
mercedes-benz,c200,Mombasa,pearl,2500000,2012,Automatic,28000,Petrol,Foreign,4.5
subaru,xv,Mombasa,silver,2250000,2012,Automatic,34000,Petrol,Foreign,3
subaru,forester,Nairobi,black,2050000,2012,Automatic,80000,Petrol,Brand,4.636363636363637
toyota,vellfire,Nairobi,Not-specified,2190000,2013,Automatic,6000,Petrol,Foreign,3
subaru,outback,Nairobi,gold,890000,2007,Automatic,126000,Petrol,Local,4.2
nissan,x-trail,Mombasa,Not-specified,1290000,2011,Automatic,77000,Petrol,Local,3.75
subaru,impreza,Nairobi,black,675000,2011,Automatic,126000,Petrol,Local,4.714285714285714
subaru,forester,Mombasa,white,1190000,2008,Automatic,157000,Petrol,Local,4.636363636363637
subaru,outback,Nairobi,Not-specified,2400000,2013,Automatic,44000,Other,Foreign,4.2
mitsubishi,pajero,Mombasa,black,3200000,2013,Automatic,82000,Diesel,Foreign,4
subaru,outback,Mombasa,gold,700000,2005,Automatic,120000,Petrol,Local,4.2
subaru,impreza,Mombasa,Not-specified,2190000,2013,Automatic,88000,Petrol,Foreign,3
subaru,legacy,Nairobi,Not-specified,1680000,2013,Automatic,34000,Other,Foreign,4.666666666666667
subaru,forester,Nairobi,Not-specified,2400000,2013,Automatic,23000,Other,Foreign,4.636363636363637
mercedes-benz,e250,Mombasa,Not-specified,2950000,2013,Automatic,32000,Petrol,Brand,3
mitsubishi,rvr,Nairobi,red,1650000,2013,Automatic,62000,Petrol,Foreign,3
mazda,cx-5,Nairobi,pearl,1890000,2013,Automatic,82000,Diesel,Foreign,3.3333333333333335
nissan,sylphy,Nairobi,maroon,330000,2005,Manual,180000,Petrol,Local,3
honda,cr-v,Nairobi,black,2100000,2012,Automatic,58000,Petrol,Foreign,4.333333333333333
toyota,ractis,Nairobi,silver,920000,2013,Automatic,35000,Petrol,Foreign,4.555555555555555
mitsubishi,l200,Nairobi,red,1600000,2014,Manual,300000,Diesel,Local,3
toyota,hilux,Nairobi,Not-specified,1690000,2014,Manual,250000,Diesel,Local,4.2
mitsubishi,l200,Nairobi,white,1000000,2009,Manual,200000,Diesel,Local,3
toyota,wish,Nairobi,black,680000,2007,Automatic,130000,Petrol,Local,3.6666666666666665
mitsubishi,l200,Nairobi,white,1200000,2009,Manual,180000,Diesel,Local,3
nissan,hardbody,Nairobi,white,1590000,2011,Manual,140000,Diesel,Local,3
nissan,hardbody,Nairobi,white,1590000,2011,Manual,140000,Diesel,Local,3
mitsubishi,galant,Nairobi,white,250000,2000,Automatic,180000,Petrol,Local,3.5
toyota,harrier,Nairobi,black,1350000,2007,Automatic,114000,Petrol,Local,4.6
nissan,advan,Nairobi,white,390000,2005,Automatic,160000,Petrol,Local,3.5
nissan,x-trail,Nairobi,silver,520000,2004,Automatic,170000,Petrol,Local,3.75
subaru,outback,Nairobi,silver,1700000,2011,Automatic,114000,Petrol,Local,4.2
nissan,tiida,Nairobi,silver,850000,2013,Automatic,1500,Petrol,Foreign,4.428571428571429
toyota,hilux,Nairobi,green,1400000,2005,Manual,170000,Diesel,Local,4.2
toyota,hilux,Nairobi,grey,1400000,2008,Manual,170000,Diesel,Local,4.2
mitsubishi,l200,Nairobi,white,780000,2005,Manual,140000,Diesel,Local,3
ford,ranger,Nairobi,white,2900000,2014,Manual,150000,Diesel,Local,4
toyota,corolla,Nairobi,white,400000,2000,Automatic,140000,Petrol,Local,4.714285714285714
nissan,hardbody,Nairobi,white,920000,2005,Manual,170000,Diesel,Local,3
volkswagen,tiguan,Nairobi,grey,1900000,2011,Automatic,78000,Petrol,Local,3.3333333333333335
toyota,passo,Nairobi,blue,750000,2013,Automatic,41000,Petrol,Foreign,3
toyota,vitz,Nairobi,grey,540000,2008,Automatic,140000,Petrol,Local,4.733333333333333
volkswagen,polo,Nairobi,white,590000,2006,Automatic,150000,Petrol,Local,3
mazda,demio,Nairobi,white,680000,2013,Automatic,101000,Petrol,Foreign,3.7142857142857144
volkswagen,passat,Nairobi,blue,450000,1998,Automatic,160000,Petrol,Local,3
toyota,fielder,Nairobi,silver,840000,2008,Automatic,145000,Petrol,Local,4.6
nissan,note,Nairobi,blue,680000,2012,Automatic,68000,Petrol,Foreign,4.333333333333333
honda,fit,Nairobi,silver,860000,2013,Automatic,150000,Petrol,Local,4.666666666666667
toyota,vitz,Nakuru,white,770000,2013,Automatic,125056,Petrol,Foreign,4.733333333333333
toyota,vitz,Mombasa,pearl,750000,2013,Automatic,65000,Petrol,Foreign,4.733333333333333
toyota,rav4,Mombasa,grey,4200000,2015,Automatic,26000,Petrol,Foreign,4.5
mercedes-benz,ml,Nairobi,silver,4900000,2013,Automatic,NA,Diesel,Foreign,3
toyota,rav4,Nairobi,grey,550000,1999,Unknown,NA,Other,Local,4.5
toyota,harrier,Nairobi,black,2900000,2012,Automatic,55000,Petrol,Foreign,4.6
toyota,vanguard,Nairobi,black,2500000,2013,Automatic,45000,Petrol,Foreign,3.3333333333333335
toyota,land,Nairobi,silver,8300000,2013,Automatic,NA,Petrol,Foreign,4.555555555555555
jeep,cherokee,Nairobi,white,4800000,2013,Automatic,NA,Petrol,Foreign,3
toyota,prius,Mombasa,black,1200000,2013,Automatic,161000,Petrol,Foreign,3
mazda,cx-5,Mombasa,blue,2100000,2013,Automatic,78000,Petrol,Foreign,3.3333333333333335
audi,a4,Mombasa,grey,2200000,2013,Automatic,59000,Petrol,Foreign,3.3333333333333335
honda,odyssey,Mombasa,silver,1150000,2013,Automatic,89000,Petrol,Foreign,3
audi,a1,Mombasa,white,1450000,2013,Automatic,121000,Petrol,Foreign,3
subaru,forester,Mombasa,maroon,1850000,2012,Automatic,68000,Petrol,Foreign,4.636363636363637
mazda,cx-5,Mombasa,white,2200000,2014,Automatic,30000,Petrol,Foreign,3.3333333333333335
bmw,x1,Mombasa,Not-specified,2250000,2013,Automatic,87000,Petrol,Foreign,3.6666666666666665
subaru,forester,Mombasa,black,2400000,2013,Automatic,101000,Petrol,Foreign,4.636363636363637
nissan,juke,Mombasa,Not-specified,1450000,2013,Automatic,68000,Petrol,Foreign,3
volkswagen,golf,Mombasa,black,1300000,2013,Automatic,91000,Petrol,Foreign,3.6
honda,cr-v,Mombasa,maroon,2400000,2013,Automatic,68000,Petrol,Foreign,4.333333333333333
bmw,x3,Mombasa,white,3400000,2013,Automatic,68000,Petrol,Foreign,3.6666666666666665
subaru,forester,Mombasa,black,2500000,2013,Automatic,68000,Petrol,Foreign,4.636363636363637
toyota,hilux,Nairobi,white,2200000,2011,Automatic,NA,Diesel,Local,4.2
nissan,x-trail,Nairobi,grey,1690000,2012,Automatic,86000,Petrol,Foreign,3.75
nissan,x-trail,Mombasa,Not-specified,2000000,2014,Automatic,NA,Petrol,Foreign,3.75
mazda,axela,Mombasa,Not-specified,1000000,2013,Automatic,NA,Petrol,Foreign,3.3333333333333335
toyota,fielder,Mombasa,Not-specified,3500000,2015,Automatic,NA,Petrol,Foreign,4.6
citroen,c3,Mombasa,Not-specified,1050000,2013,Automatic,NA,Other,Foreign,3
volkswagen,golf,Mombasa,beige,1280000,2013,Automatic,100000,Petrol,Foreign,3.6
toyota,rav4,Mombasa,Not-specified,2200000,2013,Automatic,46000,Petrol,Foreign,4.5
toyota,land,Mombasa,silver,7800000,2013,Automatic,NA,Petrol,Foreign,4.555555555555555
mazda,axela,Mombasa,Not-specified,950000,2013,Automatic,NA,Petrol,Foreign,3.3333333333333335
mitsubishi,outlander,Mombasa,Not-specified,1700000,2013,Unknown,NA,Petrol,Foreign,3.5
volkswagen,polo,Mombasa,Not-specified,1030000,2013,Automatic,NA,Petrol,Foreign,3.6666666666666665
toyota,allion,Mombasa,Not-specified,1300000,2013,Automatic,NA,Petrol,Foreign,4.555555555555555
volkswagen,passat,Mombasa,silver,1600000,2013,Automatic,100000,Petrol,Foreign,3
mitsubishi,rvr,Mombasa,Not-specified,1600000,2013,Automatic,NA,Petrol,Foreign,3
honda,cr-v,Mombasa,Not-specified,2050000,2013,Automatic,NA,Petrol,Foreign,4.333333333333333
honda,cr-v,Mombasa,Not-specified,2050000,2013,Automatic,NA,Petrol,Foreign,4.333333333333333
toyota,hilux,Mombasa,green,3350000,2013,Manual,100000,Diesel,Foreign,4.2
toyota,belta,Mombasa,blue,880000,2012,Automatic,NA,Petrol,Foreign,4.636363636363637
toyota,passo,Nairobi,red,625000,2013,Automatic,90000,Petrol,Foreign,3
volkswagen,polo,Mombasa,Not-specified,900000,2013,Automatic,NA,Petrol,Foreign,3.6666666666666665
bmw,320i,Mombasa,Not-specified,1200000,2013,Automatic,NA,Petrol,Foreign,3
toyota,allion,Mombasa,Not-specified,1300000,2012,Automatic,NA,Petrol,Foreign,4.555555555555555
toyota,rav4,Nairobi,grey,3900000,2017,Automatic,NA,Petrol,Foreign,4.5
suzuki,swift,Nairobi,blue,780000,2013,Automatic,NA,Petrol,Foreign,3.6666666666666665
nissan,note,Nairobi,black,720000,2013,Automatic,NA,Petrol,Foreign,4.333333333333333
toyota,premio,Nairobi,maroon,1850000,2014,Automatic,7000,Petrol,Foreign,4.764705882352941
volkswagen,touareg,Nairobi,black,3800000,2012,Automatic,NA,Petrol,Foreign,3
mitsubishi,outlander,Nairobi,silver,2400000,2013,Automatic,NA,Petrol,Foreign,3.5
toyota,harrier,Nairobi,white,3450000,2014,Automatic,NA,Petrol,Foreign,4.6
toyota,harrier,Nairobi,Not-specified,1270000,2007,Automatic,133000,Petrol,Local,4.6
volkswagen,golf,Nairobi,Not-specified,780000,2011,Automatic,113000,Petrol,Local,3.6
toyota,corolla,Nairobi,white,630000,2006,Automatic,169522,Petrol,Local,4.714285714285714
mazda,demio,Mombasa,white,630000,2013,Automatic,62000,Petrol,Foreign,3.7142857142857144
toyota,axio,Mombasa,gold,1250000,2013,Automatic,NA,Petrol,Foreign,3.6
toyota,ractis,Mombasa,silver,730000,2011,Automatic,86000,Petrol,Local,4.555555555555555
toyota,allion,Mombasa,silver,850000,2009,Automatic,121000,Petrol,Local,4.555555555555555
toyota,premio,Mombasa,blue,1350000,2013,Automatic,84000,Petrol,Foreign,4.764705882352941
toyota,vanguard,Mombasa,Not-specified,2300000,2013,Automatic,78954,Petrol,Foreign,3.3333333333333335
toyota,premio,Mombasa,blue,1700000,2013,Automatic,65897,Petrol,Foreign,4.764705882352941
volvo,xc60,Nairobi,pearl,3600000,2014,Automatic,68000,Petrol,Foreign,3
toyota,axio,Nairobi,Not-specified,1200000,2013,Automatic,NA,Petrol,Foreign,3.6
nissan,juke,Nairobi,maroon,1500000,2013,Automatic,NA,Petrol,Foreign,3
volkswagen,golf,Nairobi,black,1300000,2013,Automatic,NA,Petrol,Foreign,3
audi,a3,Nairobi,silver,1600000,2013,Automatic,NA,Petrol,Foreign,3.6666666666666665
mercedes-benz,e250,Mombasa,white,3550000,2014,Automatic,61000,Petrol,Foreign,3
nissan,x-trail,Nairobi,black,1150000,2010,Automatic,102000,Petrol,Local,3.75
honda,cr-v,Nairobi,silver,1900000,2011,Automatic,63200,Petrol,Foreign,4.333333333333333
nissan,note,Nairobi,maroon,740000,2013,Automatic,117000,Petrol,Foreign,4.333333333333333
toyota,passo,Nairobi,white,645000,2013,Automatic,78500,Petrol,Foreign,3
toyota,passo,Nairobi,white,645000,2013,Automatic,76200,Petrol,Foreign,3
toyota,allion,Mombasa,black,1400000,2013,Automatic,76000,Petrol,Foreign,4.555555555555555
toyota,ractis,Mombasa,maroon,850000,2013,Automatic,8400,Petrol,Foreign,4.555555555555555
toyota,premio,Mombasa,white,1250000,2012,Automatic,86000,Petrol,Local,4.764705882352941
toyota,premio,Mombasa,silver,1900000,2013,Automatic,87000,Petrol,Foreign,4.764705882352941
volkswagen,golf,Mombasa,blue,1080000,2012,Automatic,98000,Petrol,Foreign,3.6
nissan,x-trail,Mombasa,white,2100000,2014,Automatic,68000,Petrol,Foreign,3.75
toyota,harrier,Nairobi,pearl,1600000,2008,Automatic,112000,Petrol,Local,4.6
toyota,rush,Mombasa,white,1450000,2013,Automatic,46000,Petrol,Foreign,3
mazda,cx-5,Mombasa,red,2100000,2013,Automatic,104000,Petrol,Foreign,3.3333333333333335
toyota,hilux,Nakuru,white,2550000,2013,Manual,180240,Diesel,Foreign,4.2
toyota,fielder,Nakuru,silver,1380000,2013,Automatic,175859,Petrol,Foreign,4.6
suzuki,swift,Nakuru,blue,880000,2013,Manual,159134,Petrol,Foreign,3.6666666666666665
toyota,fielder,Nakuru,white,1350000,2013,Automatic,78856,Hybrid,Local,4.6
nissan,latio,Nakuru,white,850000,2013,Automatic,NA,Petrol,Foreign,3
toyota,fielder,Eldoret,brown,950000,2010,Automatic,NA,Petrol,Local,4.6
toyota,allion,Eldoret,white,1000000,2011,Automatic,NA,Petrol,Local,4.555555555555555
suzuki,alto,Eldoret,white,550000,2013,Automatic,NA,Petrol,Foreign,4.2
mitsubishi,outlander,Nairobi,white,1275000,2008,Automatic,134000,Petrol,Local,3.5
toyota,vitz,Eldoret,white,750000,2012,Automatic,NA,Petrol,Local,4.733333333333333
toyota,hilux,Nakuru,grey,2550000,2013,Manual,84000,Diesel,Foreign,4.2
toyota,auris,Nakuru,pearl,1270000,2013,Automatic,81958,Petrol,Foreign,4.333333333333333
toyota,vitz,Nakuru,white,780000,2013,Automatic,125056,Petrol,Foreign,4.733333333333333
nissan,wingroad,Nakuru,silver,880000,2013,Automatic,NA,Petrol,Foreign,3.8333333333333335
toyota,vanguard,Nakuru,pearl,2280000,2013,Automatic,84000,Petrol,Foreign,3.3333333333333335
toyota,spade,Nakuru,blue,810000,2013,Automatic,129024,Petrol,Foreign,3
toyota,rav4,Mombasa,grey,2150000,2013,Automatic,68000,Petrol,Foreign,4.5
toyota,fielder,Eldoret,white,850000,2011,Automatic,NA,Petrol,Local,4.6
toyota,axio,Nairobi,white,1100000,2013,Automatic,85000,Petrol,Foreign,3.6
mazda,bongo,Nairobi,white,1100000,2013,Automatic,160000,Petrol,Foreign,3
mitsubishi,rvr,Mombasa,silver,1700000,2013,Automatic,78000,Petrol,Foreign,3
nissan,juke,Nairobi,maroon,985000,2011,Automatic,77000,Petrol,Local,3
toyota,passo,Nairobi,maroon,650000,2013,Automatic,NA,Petrol,Foreign,3
toyota,estima,Nairobi,silver,1480000,2012,Automatic,89000,Petrol,Foreign,3
toyota,auris,Nairobi,Not-specified,1260000,2013,Automatic,103000,Petrol,Foreign,3
toyota,noah,Nairobi,black,1550000,2012,Automatic,103000,Petrol,Foreign,4.5
toyota,allion,Nairobi,white,685000,2005,Automatic,130000,Petrol,Local,4.555555555555555
toyota,vanguard,Nairobi,pearl,2400000,2012,Automatic,93000,Petrol,Foreign,3.3333333333333335
mercedes-benz,e250,Nairobi,black,4500000,2013,Automatic,61643,Petrol,Foreign,3
daihatsu,bego,Nairobi,grey,1450000,2012,Automatic,104000,Petrol,Foreign,3
toyota,wish,Nairobi,gold,1250000,2012,Automatic,560000,Petrol,Foreign,3.6666666666666665
honda,fit,Nairobi,black,700000,2011,Automatic,100000,Petrol,Foreign,4.666666666666667
audi,q3,Nairobi,silver,2750000,2013,Automatic,43724,Petrol,Foreign,3
toyota,ist,Mombasa,white,1180000,2013,Automatic,24000,Petrol,Foreign,3.3333333333333335
nissan,skyline,Nairobi,silver,1400000,2012,Automatic,101000,Petrol,Foreign,3
mitsubishi,outlander,Nairobi,silver,1595000,2011,Automatic,92000,Petrol,Local,3.5
toyota,rav4,Mombasa,pearl,2100000,2013,Automatic,56000,Petrol,Foreign,4.5
nissan,tiida,Nairobi,silver,675000,2011,Automatic,115000,Petrol,Foreign,4.428571428571429
nissan,tiida,Nairobi,red,900000,2013,Automatic,42000,Petrol,Foreign,4.428571428571429
audi,q5,Nairobi,black,2830000,2011,Automatic,68978,Petrol,Local,3
toyota,passo,Nairobi,silver,680000,2014,Automatic,79015,Petrol,Foreign,3
volkswagen,golf,Nairobi,silver,700000,2007,Automatic,99186,Petrol,Local,3.6
nissan,note,Nairobi,blue,745000,2013,Automatic,86000,Petrol,Foreign,4.333333333333333
toyota,fielder,Nairobi,blue,1150000,2012,Automatic,112000,Petrol,Local,4.6
honda,cr-z,Nairobi,grey,1100000,2011,Automatic,NA,Hybrid,Foreign,3
toyota,camry,Nairobi,Not-specified,1800000,2012,Automatic,27000,Petrol,Foreign,3.6666666666666665
toyota,hilux,Nairobi,silver,2650000,2013,Manual,NA,Diesel,Foreign,4.2
toyota,sai,Nairobi,silver,1400000,2011,Automatic,NA,Hybrid,Foreign,3
nissan,latio,Nairobi,silver,825000,2013,Automatic,143000,Petrol,Foreign,3
nissan,tiida,Nairobi,silver,770000,2012,Automatic,72000,Petrol,Foreign,4.428571428571429
mercedes-benz,b180,Nairobi,red,1050000,2011,Automatic,38000,Petrol,Foreign,3
toyota,hilux,Nairobi,grey,3000000,2012,Automatic,98000,Petrol,Foreign,4.2
mazda,cx-5,Mombasa,red,1950000,2013,Automatic,40000,Petrol,Foreign,3.3333333333333335
toyota,vitz,Nakuru,Not-specified,780000,2013,Unknown,NA,Other,Foreign,4.733333333333333
toyota,prius,Nairobi,white,1200000,2010,Automatic,64250,Petrol,Foreign,3
mitsubishi,outlander,Nairobi,Not-specified,1830000,2012,Automatic,NA,Petrol,Foreign,3.5
honda,insight,Nairobi,Not-specified,920000,2011,Automatic,NA,Petrol,Foreign,3.3333333333333335
nissan,tiida,Nairobi,white,800000,2012,Automatic,NA,Petrol,Foreign,4.428571428571429
toyota,vitz,Nairobi,yellow,770000,2012,Automatic,NA,Petrol,Foreign,4.733333333333333
mazda,cx-5,Nairobi,black,1970000,2012,Automatic,NA,Diesel,Foreign,3.3333333333333335
volkswagen,tiguan,Mombasa,black,2000000,2013,Automatic,66000,Petrol,Foreign,3.3333333333333335
toyota,vanguard,Nairobi,grey,2500000,2012,Automatic,NA,Petrol,Foreign,3.3333333333333335
toyota,axio,Nairobi,white,950000,2011,Automatic,37000,Petrol,Foreign,3.6
toyota,passo,Nairobi,purple,680000,2013,Automatic,NA,Petrol,Foreign,3
daihatsu,mira,Nairobi,Not-specified,500000,2011,Automatic,NA,Petrol,Foreign,3
nissan,serena,Nairobi,Not-specified,1150000,2012,Automatic,NA,Petrol,Foreign,3
toyota,vitz,Nairobi,silver,750000,2012,Automatic,NA,Petrol,Foreign,4.733333333333333
toyota,harrier,Nairobi,black,3600000,2014,Automatic,NA,Petrol,Foreign,4.6
subaru,forester,Nairobi,black,1760000,2012,Automatic,NA,Petrol,Foreign,4.636363636363637
toyota,passo,Nairobi,maroon,650000,2012,Automatic,NA,Petrol,Foreign,3
toyota,crown,Nairobi,gold,1550000,2012,Automatic,NA,Petrol,Foreign,4.2
toyota,premio,Nairobi,silver,1530000,2012,Automatic,NA,Petrol,Foreign,4.764705882352941
toyota,prius,Nairobi,silver,1050000,2011,Automatic,NA,Petrol,Foreign,3
toyota,passo,Nairobi,white,650000,2012,Automatic,NA,Petrol,Foreign,3
toyota,crown,Nairobi,black,1200000,2009,Automatic,NA,Petrol,Foreign,4.2
toyota,townace,Nairobi,silver,1050000,2012,Automatic,NA,Petrol,Foreign,3
toyota,vitz,Nairobi,Not-specified,750000,2012,Automatic,NA,Petrol,Foreign,4.733333333333333
suzuki,alto,Nairobi,blue,480000,2012,Automatic,NA,Petrol,Foreign,4.2
nissan,advan,Nairobi,white,550000,2012,Automatic,NA,Petrol,Foreign,3.5
toyota,auris,Nairobi,black,1200000,2013,Automatic,NA,Petrol,Foreign,4.333333333333333
volkswagen,tiguan,Nairobi,white,2350000,2013,Automatic,NA,Petrol,Foreign,3.3333333333333335
nissan,x-trail,Bungoma,Not-specified,1780000,2013,Automatic,NA,Diesel,Foreign,3.75
toyota,vanguard,Nairobi,white,2200000,2013,Automatic,75500,Petrol,Foreign,3.3333333333333335
nissan,navara,Nairobi,Not-specified,1300000,2006,Manual,NA,Diesel,Local,3
toyota,succeed,Nairobi,white,825000,2014,Automatic,NA,Other,Foreign,3.6666666666666665
toyota,corolla,Nairobi,gold,630000,2007,Manual,NA,Petrol,Local,4.714285714285714
nissan,advan,Nairobi,blue,640000,2013,Automatic,NA,Other,Foreign,3.5
toyota,wish,Nairobi,silver,700000,2006,Automatic,NA,Other,Local,3.6666666666666665
toyota,caldina,Nairobi,white,380000,2009,Automatic,NA,Petrol,Local,4.428571428571429
isuzu,d-max,Nairobi,white,620000,2006,Manual,NA,Diesel,Local,4
toyota,auris,Nairobi,red,1300000,2013,Automatic,NA,Petrol,Foreign,4.333333333333333
volkswagen,golf,Mombasa,silver,1150000,2013,Automatic,50000,Petrol,Foreign,3.6
mazda,demio,Nairobi,white,650000,2013,Automatic,75500,Petrol,Foreign,3.7142857142857144
mazda,demio,Nairobi,white,650000,2013,Automatic,74000,Petrol,Foreign,3.7142857142857144
mazda,demio,Nairobi,blue,670000,2014,Automatic,NA,Petrol,Foreign,3.7142857142857144
toyota,rav4,Mombasa,red,3500000,2015,Automatic,45223,Petrol,Foreign,4.5
toyota,hilux,Mombasa,silver,4200000,2013,Automatic,98575,Diesel,Foreign,4.2
toyota,harrier,Mombasa,white,3900000,2015,Automatic,43152,Petrol,Foreign,4.6
toyota,wish,Mombasa,white,2350000,2013,Automatic,74235,Petrol,Foreign,3.6666666666666665
toyota,hilux,Mombasa,Not-specified,2800000,2012,Automatic,46003,Diesel,Local,4.2
toyota,vanguard,Mombasa,white,2300000,2013,Automatic,94232,Petrol,Foreign,3.3333333333333335
toyota,vanguard,Mombasa,white,2500000,2012,Automatic,89232,Petrol,Foreign,3.3333333333333335
honda,cr-v,Mombasa,white,2250000,2012,Automatic,94275,Petrol,Foreign,4.333333333333333
toyota,fielder,Mombasa,white,1250000,2013,Automatic,119349,Hybrid,Foreign,4.6
toyota,land,Mombasa,brown,4300000,2013,Manual,168600,Diesel,Foreign,4.555555555555555
nissan,x-trail,Mombasa,black,1800000,2012,Automatic,89223,Petrol,Foreign,3.75
mitsubishi,outlander,Mombasa,white,2300000,2013,Automatic,83272,Petrol,Foreign,3.5
toyota,sienta,Mombasa,maroon,900000,2013,Automatic,89223,Petrol,Foreign,3.6666666666666665
toyota,fielder,Mombasa,white,1250000,2012,Automatic,74263,Petrol,Foreign,4.6
toyota,fielder,Mombasa,Not-specified,1250000,2013,Automatic,72327,Hybrid,Foreign,4.6
toyota,axio,Mombasa,gold,1200000,2021,Automatic,45627,Petrol,Foreign,3.6
toyota,hilux,Mombasa,silver,2300000,2013,Manual,175238,Diesel,Foreign,4.2
nissan,bluebird,Mombasa,white,1300000,2013,Automatic,32521,Petrol,Foreign,4
toyota,premio,Mombasa,maroon,1650000,2014,Automatic,23521,Petrol,Foreign,4.764705882352941
nissan,bluebird,Mombasa,white,1300000,2013,Automatic,32521,Petrol,Foreign,4
toyota,vanguard,Mombasa,white,2300000,2012,Automatic,74523,Petrol,Foreign,3.3333333333333335
toyota,wish,Mombasa,black,1300000,2021,Automatic,84237,Petrol,Foreign,3.6666666666666665
toyota,vitz,Mombasa,pink,750000,2013,Automatic,83703,Petrol,Foreign,3
toyota,ractis,Mombasa,maroon,930000,2013,Automatic,52327,Petrol,Foreign,4.555555555555555
toyota,hilux,Mombasa,silver,3600000,2013,Automatic,86326,Diesel,Foreign,3
toyota,hilux,Mombasa,green,3200000,2012,Manual,102267,Diesel,Foreign,4.2
nissan,note,Mombasa,brown,700000,2013,Automatic,53242,Petrol,Foreign,4.333333333333333
mercedes-benz,c180,Mombasa,grey,2200000,2013,Automatic,57856,Petrol,Foreign,3
toyota,ractis,Mombasa,Not-specified,850000,2013,Automatic,92327,Petrol,Foreign,4.555555555555555
toyota,crown,Mombasa,white,1500000,2021,Automatic,98261,Petrol,Foreign,4.2
toyota,crown,Mombasa,black,2200000,2013,Automatic,182212,Petrol,Foreign,4.2
toyota,fielder,Mombasa,silver,1200000,2013,Automatic,84223,Petrol,Foreign,4.6
toyota,axio,Mombasa,white,1200000,2013,Automatic,42273,Petrol,Foreign,3.6
mitsubishi,rvr,Mombasa,white,1850000,2013,Automatic,40526,Petrol,Foreign,3
mitsubishi,rvr,Mombasa,grey,1850000,2014,Automatic,135307,Petrol,Foreign,3
toyota,fielder,Mombasa,green,1300000,2013,Automatic,42921,Petrol,Foreign,4.6
mitsubishi,rvr,Mombasa,grey,1850000,2014,Automatic,135307,Petrol,Foreign,3
