,make,price,details
3767,  2013 Toyota Allion A15     5 (7 Reviews)   ," KSh1,400,000 ",  Mombasa  Automatic  Pearl Foreign Used 2013 Petrol 
3768,  2012 Toyota Allion 1.8     5 (7 Reviews)   ," KSh1,390,000 ",  Mombasa  Automatic  Pearl 105100 km   Foreign Used 2012 Petrol 
3769,  2013 Mitsubishi Mirage  ," KSh645,000 ",  Mombasa  Automatic  Purple Foreign Used 2013 Petrol 
3770,  2015 Subaru Outback 2.5i Limited     5 (3 Reviews)   ," KSh3,150,000 ",  Mombasa  Automatic  Beige Foreign Used 2015 Petrol 
3771,  2013 Toyota Auris     5 (4 Reviews)   ," KSh1,280,000 ",  Mombasa  Automatic  Maroon 78500 km   Foreign Used 2013 Petrol 
3772,  2013 Mercedes-Benz ML350  ," KSh6,400,000 ",  Nairobi  Automatic  Silver 55000 km   Foreign Used 2013 Petrol 
3773,  2007 Mazda Demio 1.3     4 (5 Reviews)   ," KSh385,000  ",  Mombasa  Automatic  Blue 120000 km   Locally Used 2007 Petrol 
3774,  2013 Toyota Axio     4 (3 Reviews)   ," KSh1,180,000 ",  Nairobi  Automatic  White 78000 km   Foreign Used 2013 Petrol 
3775,  2014 Ford Ranger     5 (2 Reviews)   ," KSh4,650,000 ",  Nairobi  Automatic  Orange 89000 km   Foreign Used 2014 Diesel 
3776,  2013 Volkswagen Golf 2.0 GTi Turbo DSG     4 (3 Reviews)   ," KSh1,850,000 ",  Nairobi  Automatic  Black 58000 km   Foreign Used 2013 Petrol 
3777,  2012 Honda Fit     5 (10 Reviews)   ," KSh780,000 ",  Nairobi  Automatic  Silver 95000 km   Locally Used 2012 Hybrid 
3778,  2013 Mazda CX-5     4 (1 Review)    ," KSh1,980,000 ",  Nairobi  Automatic  Grey 75000 km   Foreign Used 2013 Diesel 
3779,  2013 Mazda CX-5     4 (1 Review)   ," KSh2,150,000 ",  Nairobi  Automatic  Black 77000 km   Foreign Used 2013 Petrol 
3780,  2012 Toyota Crown     5 (3 Reviews)   ," KSh1,550,000 ",  Nairobi  Automatic  White 55000 km   Foreign Used 2012 Petrol 
3781,  2007 Toyota Mark X     5 (6 Reviews)   ," KSh750,000 ",  Nairobi  Automatic  Silver 90000 km   Locally Used 2007 Petrol 
3782,  2010 Toyota Land Cruiser Prado     4 (3 Reviews)   ," KSh3,650,000 ",  Nairobi  Automatic  Dark Grey 78000 km   Locally Used 2010 Diesel 
3783,  2010 Mercedes-Benz E300  ," KSh2,200,000 ",  Nairobi  Automatic  White 110000 km   Locally Used 2010 Petrol 
3784,  2015 Toyota Land Cruiser Prado     4 (3 Reviews)   ," KSh6,850,000 ",  Nairobi  Automatic  20000 km   Foreign Used 2015 Diesel 
3785,  2014 Toyota Land Cruiser Prado     4 (3 Reviews)   ," KSh6,500,000 ",  Nairobi  Automatic  Brown 57000 km   Foreign Used 2014 Diesel 
3786,  2014 Toyota Land Cruiser Prado     4 (3 Reviews)   ," KSh6,550,000 ",  Nairobi  Automatic  Silver 67000 km   Foreign Used 2014 Diesel 
3787,  2013 Toyota Land Cruiser 200 VX 4.5     5 (7 Reviews)   ," KSh8,300,000 ",  Nairobi  Automatic  Pearl 62000 km   Foreign Used 2013 Diesel 
