,make,price,details
675,  2006 Toyota Harrier     5 (8 Reviews)   ," KSh1,300,000 ",  Nairobi  Automatic  Black 111316 km   Locally Used 2006 Petrol 
676,  2019 Jeep Wrangler 3.8 Sahara  ," KSh13,000,000 ",  Nairobi  Automatic  Silver Brand New 2019 Petrol 
677,  2012 Toyota Harrier     5 (8 Reviews)   ," KSh2,850,000 ",  Nairobi  Automatic  Black 63000 km   Foreign Used 2012 Petrol 
678,  2007 Toyota Ractis     5 (7 Reviews)   ," KSh465,000 ",  Nairobi  Automatic  Silver 190000 km   Locally Used 2007 Petrol 
679,  2011 Daihatsu Mira  ," KSh399,000 ",  Nairobi  Automatic  White 94000 km   Foreign Used 2011 Petrol 
680,  2013 Toyota RAV4 2.5 Limited 4x4     5 (6 Reviews)   ," KSh3,200,000 ",  Nairobi  Automatic  White 50000 km   Foreign Used 2013 Petrol 
681,  2011 Mazda verisa     5 (2 Reviews)   ," KSh780,000  ",  Nairobi  Automatic  Red 54000 km   Foreign Used 2011 Petrol 
682,  2012 Honda Fit     5 (10 Reviews)   ," KSh785,000 ",  Nairobi  Automatic  Silver 83211 km   Foreign Used 2012 Petrol 
683,  2012 Honda Fit     5 (10 Reviews)   ," KSh800,000 ",  Nairobi  Automatic  Silver Foreign Used 2012 Petrol 
684,  2013 Nissan Note     5 (4 Reviews)   ," KSh750,000 ",  Nairobi  Automatic  Red Foreign Used 2013 Petrol 
685,  2013 Subaru Legacy     5 (10 Reviews)   ," KSh1,600,000 ",  Nairobi  Automatic  Silver Foreign Used 2013 Petrol 
686,  2013 Toyota Hilux     5 (3 Reviews)   ," KSh3,100,000 ",  Nairobi  Manual  Black Foreign Used 2013 Petrol 
687,  2013 Toyota Hilux     5 (3 Reviews)   ," KSh3,000,000 ",  Nairobi  Manual  Blue Foreign Used 2013 Diesel 
688,  2012 Toyota Hilux     5 (3 Reviews)   ," KSh2,900,000 ",  Nairobi  Manual  White Foreign Used 2012 Diesel 
689,  2012 Toyota Vitz     5 (13 Reviews)   ," KSh750,000 ",  Nairobi  Automatic  Silver Foreign Used 2012 Petrol 
690,  2013 Nissan Note     5 (4 Reviews)   ," KSh730,000 ",  Nairobi  Automatic  Other 1 km   Foreign Used 2013 Petrol 
691,  2012 Nissan X-Trail     4 (6 Reviews)   ," KSh1,750,000 ",  Nairobi  Automatic  White Foreign Used 2012 Petrol 
692,  2013 Toyota Land Cruiser     5 (7 Reviews)   ," KSh7,700,000 ",  Nairobi  Automatic  17000 km   Foreign Used 2013 Petrol 
693,  2013 Toyota Auris     5 (4 Reviews)   ," KSh1,350,000 ",  Nairobi  Automatic  Red 44000 km   Foreign Used 2013 Petrol 
694,  2013 Nissan Note     5 (4 Reviews)   ," KSh730,000 ",  Nairobi  Automatic  Silver 1 km   Foreign Used 2013 Petrol 
695,  2013 Honda CR-V     5 (4 Reviews)   ," KSh2,300,000 ",  Nairobi  Automatic  Other Foreign Used 2013 Petrol 
696,  2013 Honda Fit     5 (10 Reviews)   ," KSh950,000 ",  Nairobi  Automatic  Blue Foreign Used 2013 Petrol 
697,  2013 Mazda CX-5     4 (1 Review)   ," KSh1,950,000 ",  Nairobi  Automatic  Red Foreign Used 2013 Diesel 
698,  2012 Subaru Outback     5 (3 Reviews)   ," KSh2,400,000 ",  Nairobi  Automatic  Black Foreign Used 2012 Petrol 
699,  2013 Toyota Ractis     5 (7 Reviews)   ," KSh950,000 ",  Nairobi  Automatic  Red 1 km   Foreign Used 2013 Petrol 
700,  2012 Mercedes-Benz E350  ," KSh3,650,000 ",  Nairobi  Automatic  White 1 km   Foreign Used 2012 Petrol 
701,  2012 BMW X5  ," KSh3,800,000 ",  Nairobi  Automatic  Black 1 km   Foreign Used 2012 Diesel 
702,  2013 Mitsubishi Outlander     4 (2 Reviews)   ," KSh2,250,000 ",  Nairobi  Automatic  Black Foreign Used 2013 Petrol 
703,  2011 Mazda Demio 1.3     4 (5 Reviews)   ," KSh530,000 ",  Nairobi  Automatic  Blue 65000 km   Locally Used 2011 Petrol 
704,  2014 Toyota Land Cruiser Prado     4 (3 Reviews)   ," KSh3,950,000 ",  Nairobi  Automatic  Silver 117000 km   Locally Used 2014 Petrol 
705,  2014 BMW X5 3.0 d  ," KSh6,850,000 ",  Nairobi  Automatic  Pearl 43000 km   Foreign Used 2014 Diesel 
706,  2013 Nissan Note     5 (4 Reviews)   ," KSh690,000 ",  Nairobi  Automatic  Pearl 1 km   Foreign Used 2013 Petrol 
707,  2008 Toyota Vanguard     4 (1 Review)   ," KSh1,450,000 ",  Nairobi  Automatic  Black 92000 km   Locally Used 2008 Petrol 
708,  2013 Honda Fit Shuttle     5 (10 Reviews)   ," KSh920,000 ",  Nairobi  Automatic  Black 72000 km   Foreign Used 2013 Petrol 
709,  2013 Nissan Note     5 (4 Reviews)   ," KSh690,000 ",  Nairobi  Automatic  Pearl 1 km   Foreign Used 2013 Petrol 
710,  2013 Nissan Note     5 (4 Reviews)   ," KSh690,000  ",  Nairobi  Automatic  Pearl 1 km   Foreign Used 2013 Petrol 
711,  2015 Toyota Land Cruiser Prado TX-L     4 (3 Reviews)   ," KSh6,599,999 ",  Nairobi  Automatic  Brown 35000 km   Foreign Used 2015 Diesel 
712,  2013 Toyota Fortuner 3.0 D-4D 4x4     5 (2 Reviews)   ," KSh3,899,999 ",  Nairobi  Automatic  Gold 77000 km   Foreign Used 2013 Diesel 
713,  2010 Mercedes-Benz E300  ," KSh2,199,999 ",  Nairobi  Automatic  Pearl 64000 km   Locally Used 2010 Petrol 
714,  2013 Mazda CX-5 2WD     4 (1 Review)   ," KSh2,070,000 ",  Nairobi  Automatic  Pearl 70000 km   Foreign Used 2013 Petrol 
715,  2012 Mercedes-Benz E300  ," KSh3,500,000 ",  Nairobi  Automatic  Black 62905 km   Foreign Used 2012 Petrol 
716,  2013 Mercedes-Benz E200     5 (3 Reviews)   ," KSh2,980,000 ",  Nairobi  Automatic  Silver 58227 km   Foreign Used 2013 Petrol 
717,  2008 Volkswagen Tiguan 2.0 TSI     4 (1 Review)   ," KSh1,650,000 ",  Nairobi  Automatic  White 100000 km   Locally Used 2008 Petrol 
718,  2009 Isuzu D-MAX     5 (2 Reviews)   ," KSh1,800,000 ",  Nairobi  Manual  Black 103240 km   Locally Used 2009 Diesel 
719,  2013 Subaru XV  ," KSh1,880,000 ",  Nairobi  Automatic  Pearl 72434 km   Foreign Used 2013 Petrol 
720,  2013 Mercedes-Benz S300  ," KSh4,500,000 ",  Nairobi  Automatic  Grey 58302 km   Foreign Used 2013 Petrol 
721,  2012 Mercedes-Benz B180  ," KSh1,350,000 ",  Nairobi  Automatic  Red 80366 km   Foreign Used 2012 Petrol 
722,  2009 Nissan Bluebird     5 (2 Reviews)   ," KSh540,000 ",  Mt Kenya Region  Automatic  Silver 184000 km   Locally Used 2009 Petrol 
723,  2012 Nissan juke     3 (1 Review)   ," KSh1,050,000 ",  Nakuru  Automatic  Dark Grey 72000 km   Locally Used 2012 Petrol 
724,  2013 Daihatsu Mira  ," KSh495,000 ",  Nairobi  Automatic  Silver 65000 km   Foreign Used 2013 Petrol 
725,  2010 Volkswagen Tiguan 2.0 S     4 (1 Review)   ," KSh1,650,000 ",  Nairobi  Automatic  Dark Blue 79000 km   Locally Used 2010 Petrol 
726,  2013 Nissan Note     5 (4 Reviews)   ," KSh720,000 ",  Nairobi  Automatic  Red 59083 km   Foreign Used 2013 Petrol 
727,  2013 Subaru Legacy      5 (10 Reviews)   ," KSh1,580,000 ",  Nairobi  Automatic  Pearl 95000 km   Foreign Used 2013 Petrol 
728,  2013 Toyota Auris     5 (4 Reviews)   ," KSh1,380,000 ",  Nairobi  Automatic  Black 34693 km   Foreign Used 2013 Petrol 
729,  2013 Toyota Axio     4 (3 Reviews)   ," KSh1,100,000 ",  Nairobi  Automatic  Silver 94000 km   Foreign Used 2013 Petrol 
730,  2008 Nissan X-Trail 2.0     4 (6 Reviews)   ," KSh780,000 ",  Nairobi  Automatic  Red 119000 km   Locally Used 2008 Petrol 
731,  2013 Toyota Hilux 3.0 D-4D Double Cab     5 (3 Reviews)   ," KSh3,500,000 ",  Nairobi  Automatic  White 68000 km   Foreign Used 2013 Diesel 
732,  2013 Suzuki Every  ," KSh600,000 ",  Mombasa  Automatic  Silver 56000 km   Foreign Used 2013 Petrol 
733,   2013 Toyota Passo  ," KSh600,000 ",  Mombasa  Automatic  Dark Grey 25000 km   Foreign Used 2013 Petrol 
734,  2013 Toyota Vitz 1.0 F     5 (13 Reviews)   ," KSh680,000 ",  Mombasa  Automatic  Silver 56000 km   Foreign Used 2013 Petrol 
735,  2012 Mitsubishi Outlander 2.4 Mivec     4 (2 Reviews)   ," KSh1,800,000 ",  Mombasa  Automatic  Black 78000 km   Foreign Used 2012 Petrol 
736,  2013 Toyota Avensis 1.8     4 (3 Reviews)   ," KSh1,380,000 ",  Mombasa  Automatic  White 78000 km   Foreign Used 2013 Petrol 
737,  2013 Isuzu D-MAX     5 (2 Reviews)   ," KSh3,200,000 ",  Mombasa  Manual  Dark Blue 102000 km   Foreign Used 2013 Diesel 
738,  2013 Ford Ranger 2.5 TD Double Cab XLT     5 (2 Reviews)   ," KSh3,950,000 ",  Mombasa  Automatic  White 78000 km   Foreign Used 2013 Diesel 
739,  2013 Nissan Sylphy  ," KSh1,100,000 ",  Mombasa  Automatic  Maroon 56000 km   Foreign Used 2013 Petrol 
740,  2013 Volvo S60 1.6 D  ," KSh1,550,000 ",  Nairobi  Automatic  Dark Blue Foreign Used 2013 Petrol 
741,  2013 Mazda CX-5 AWD     4 (1 Review)   ," KSh1,900,000 ",  Mombasa  Automatic  Dark Blue 68000 km   Foreign Used 2013 Petrol 
742,  2013 Toyota Vitz 1.3 U     5 (13 Reviews)   ," KSh770,000 ",  Mombasa  Pink 56000 km   Locally Used 2013 Petrol 
743,  2013 Mitsubishi RVR 2.0     3 (1 Review)   ," KSh1,600,000 ",  Mombasa  Automatic  Black 65000 km   Foreign Used 2013 Petrol 
744,  2013 Subaru Impreza 1.6i Sport     5 (12 Reviews)   ," KSh1,200,000 ",  Mombasa  Automatic  Dark Grey 72000 km   Foreign Used 2013 Petrol 
745,  2013 Honda Shuttle 1.6  ," KSh850,000 ",  Mombasa  Automatic  Black 78000 km   Foreign Used 2013 Petrol 
746,  2015 Toyota Succeed     5 (1 Review)   ," KSh880,000 ",  Mombasa  Automatic  White 78000 km   Foreign Used 2015 Petrol 
747,  2013 Toyota Allion 1.8     5 (7 Reviews)   ," KSh1,350,000 ",  Mombasa  Automatic  Blue 45000 km   Foreign Used 2013 Petrol 
748,  2013 Toyota Passo  ," KSh588,000 ",  Nairobi  Automatic  Brown 37000 km   Foreign Used 2013 Petrol 
749,  2014 Toyota Rush     3 (1 Review)   ," KSh1,500,000 ",  Mombasa  Automatic  Beige 13000 km   Foreign Used 2014 Petrol 
750,  2013 Toyota Wish     4 (4 Reviews)   ," KSh1,270,000 ",  Mombasa  Automatic  Black 56000 km   Foreign Used 2013 Petrol 
751,  2013 Toyota Auris 1.4 VVT-i     5 (4 Reviews)   ," KSh1,200,000 ",  Mombasa  Automatic  White 68000 km   Foreign Used 2013 Petrol 
752,  2013 Toyota Wish     4 (4 Reviews)   ," KSh1,300,000 ",  Mombasa  Automatic  Black 56000 km   Foreign Used 2013 Petrol 
753,  2008 Toyota Vitz     5 (13 Reviews)   ," KSh400,000 ",  Mombasa  Automatic  White Locally Used 2008 Petrol 
754,  2012 Mercedes-Benz E200     5 (3 Reviews)   ," KSh2,000,000 ",  Nairobi  Automatic  Silver 65000 km   Foreign Used 2012 Petrol 
755,  2015 Renault Duster  ," KSh1,350,000 ",  Nairobi  Manual  Brown 90000 km   Locally Used 2015 Petrol 
756,  2013 Mercedes-Benz C200     5 (6 Reviews)   ," KSh2,280,000 ",  Nairobi  Automatic  Black 61073 km   Foreign Used 2013 Petrol 
757,  2013 Toyota Land Cruiser Prado     4 (3 Reviews)   ," KSh4,600,000 ",  Nairobi  Automatic  Silver 97970 km   Foreign Used 2013 Petrol 
758,  2012 Mitsubishi Outlander 2.4 4WD Intense     4 (2 Reviews)   ," KSh2,250,000 ",  Nairobi  Automatic  Orange 90700 km   Foreign Used 2012 Petrol 
759,  2013 Toyota Auris     5 (4 Reviews)   ," KSh1,270,000 ",  Nairobi  Automatic  Blue 75200 km   Foreign Used 2013 Petrol 
760,  2013 Subaru Forester 2.0 X Comfort     5 (9 Reviews)   ," KSh2,250,000 ",  Nairobi  Automatic  Grey 65648 km   Foreign Used 2013 Petrol 
761,  2012 Toyota Land Cruiser 202 ZX 4.6     5 (7 Reviews)   ," KSh7,900,000 ",  Nairobi  Automatic  Black 40075 km   Foreign Used 2012 Petrol 
762,  2012 Toyota Allion A15     5 (7 Reviews)   ," KSh1,470,000 ",  Nairobi  Automatic  Maroon 85136 km   Foreign Used 2012 Petrol 
763,  2015 Toyota Harrier     5 (8 Reviews)   ," KSh3,350,000 ",  Nairobi  Automatic  Silver 91000 km   Foreign Used 2015 Petrol 
764,  2013 Toyota Premio     5 (15 Reviews)   ," KSh1,690,000 ",  Nairobi  Automatic  Maroon 7900 km   Foreign Used 2013 Petrol 
765,  2014 Toyota Premio     5 (15 Reviews)   ," KSh1,690,000 ",  Nairobi  Automatic  Dark Grey 79000 km   Foreign Used 2014 Petrol 
766,  2013 Toyota Axio     4 (3 Reviews)   ," KSh1,090,000 ",  Thika  Automatic  Silver 80000 km   Foreign Used 2013 Petrol 
767,  2007 Toyota Alphard  ," KSh870,000 ",  Thika  Automatic  White 160000 km   Locally Used 2007 Petrol 
768,  2009 Honda Fit Automatic     5 (10 Reviews)   ," KSh495,000 ",  Thika  Automatic  Silver 180000 km   Locally Used 2009 Petrol 
769,  2008 Nissan Advan     4 (2 Reviews)   ," KSh380,000 ",  Thika  Automatic  White 190000 km   Locally Used 2008 Petrol 
770,  2013 Mercedes-Benz C200 CGI     5 (6 Reviews)   ," KSh2,500,000 ",  Mombasa  Automatic  Black 65896 km   Brand New 2013 Petrol 
771,  2013 Toyota Vanguard     4 (1 Review)   ," KSh2,250,000 ",  Mombasa  Automatic  White 65896 km   Brand New 2013 Petrol 
772,  2013 Toyota Succeed     5 (1 Review)    ," KSh880,000 ",  Mombasa  Manual  Gold 65896 km   Brand New 2013 Petrol 
773,  2013 Toyota RAV4 2.0 4x4      5 (6 Reviews)   ," KSh2,200,000 ",  Mombasa  Automatic  Silver 68965 km   Brand New 2013 Petrol 
774,  2014 Mitsubishi RVR 2.0     3 (1 Review)   ," KSh1,650,000 ",  Mombasa  Automatic  Grey 65896 km   Brand New 2014 Petrol 
775,  2013 Nissan Note 1.4     5 (4 Reviews)   ," KSh695,000 ",  Mombasa  Automatic  Silver 65896 km   Brand New 2013 Petrol 
776,  2013 Volkswagen 1302  ," KSh1,180,000 ",  Mombasa  Automatic  Silver 65896 km   Brand New 2013 Petrol 
777,  2013 Volkswagen Passat 1.4 TSI BlueMotion Estate      3 (1 Review)   ," KSh1,180,000 ",  Mombasa  Automatic  Silver 65896 km   Brand New 2013 Petrol 
778,  2013 Subaru Forester 2.0I-L Eye Sight     5 (9 Reviews)   ," KSh1,950,000 ",  Mombasa  Automatic  Grey 85685 km   Brand New 2013 Petrol 
779,  2018 Toyota RAV4 2.0 4x4 VX Automatic     5 (6 Reviews)   ," KSh3,200,000 ",  Mombasa  Automatic  Silver 65896 km   Brand New 2018 Petrol 
780,  2013 Toyota Land Cruiser 3.0 D     5 (7 Reviews)   ," KSh2,500,000 ",  Mombasa  Manual  White 85685 km   Brand New 2013 Diesel 
781,  2013 Volkswagen Golf 1.2Tsi     4 (3 Reviews)   ," KSh930,000 ",  Mombasa  Automatic  Silver 65896 km   Brand New 2013 Petrol 
782,  2000 Toyota Vitz 1.0 F     5 (13 Reviews)   ," KSh290,000 ",  Nairobi  Automatic  White 178000 km   Locally Used 2000 Petrol 
783,  2003 Toyota Corolla 1.5 Automatic     5 (12 Reviews)   ," KSh520,000 ",  Nairobi  Automatic  White 178000 km   Locally Used 2003 Petrol 
784,  2007 Toyota Passo  ," KSh340,000 ",  Nairobi  Automatic  Red 176000 km   Locally Used 2007 Petrol 
785,  2006 Nissan Note 1.5 dCi     5 (4 Reviews)   ," KSh320,000 ",  Nairobi  Automatic  Grey 189000 km   Locally Used 2006 Petrol 
786,  2002 Toyota Vitz 1.0 F     5 (13 Reviews)   ," KSh320,000 ",  Nairobi  Automatic  Silver 167000 km   Locally Used 2002 Petrol 
787,  2007 Toyota Passo  ," KSh330,000 ",  Nairobi  Automatic  Silver 156000 km   Locally Used 2007 Petrol 
788,  2010 Toyota Passo  ," KSh390,000 ",  Nairobi  Automatic  Red 167000 km   Locally Used 2010 Petrol 
789,  2002 Toyota Fun Cargo  ," KSh340,000 ",  Nairobi  Automatic  Gold 167000 km   Locally Used 2002 Petrol 
790,  2012 Toyota Vitz 1.3 U     5 (13 Reviews)   ," KSh730,000 ",  Nairobi  Automatic  Pink 54000 km   Locally Used 2012 Petrol 
791,  2004 Toyota Raum     4 (3 Reviews)   ," KSh390,000 ",  Nairobi  Automatic  Silver 156000 km   Locally Used 2004 Petrol 
792,  2007 Toyota Vitz 1.3 U     5 (13 Reviews)   ," KSh400,000 ",  Nairobi  Automatic  Silver 167000 km   Locally Used 2007 Petrol 
793,  2008 Nissan Pino  ," KSh280,000 ",  Nairobi  Automatic  Silver 156000 km   Locally Used 2008 Petrol 
794,  1998 Nissan Sunny     4 (6 Reviews)   ," KSh220,000 ",  Nairobi  Automatic  White 187000 km   Locally Used 1998 Petrol 
795,  2005 Mazda Demio 1.3     4 (5 Reviews)   ," KSh340,000 ",  Nairobi  Automatic  Red 145000 km   Locally Used 2005 Petrol 
796,  2010 Nissan Tiida 1.5 dCi     5 (5 Reviews)   ," KSh470,000 ",  Nairobi  Automatic  Black 154000 km   Locally Used 2010 Petrol 
797,  2015 Subaru Outback     5 (3 Reviews)   ," KSh3,300,000 ",  Mombasa  Automatic  Yellow Foreign Used 2015 Petrol 
798,  2013 Toyota Auris     5 (4 Reviews)   ," KSh1,250,000 ",  Mombasa  Automatic  Red Foreign Used 2013 Petrol 
799,  2013 Mitsubishi Outlander     4 (2 Reviews)   ," KSh2,400,000 ",  Mombasa  Automatic  Red Foreign Used 2013 Petrol 
800,  2013 Land Rover Range Rover Sport  ," KSh6,000,000 ",  Mombasa  Automatic  White Foreign Used 2013 Petrol 
801,  2013 Volkswagen Golf 1.4 Tsi     4 (3 Reviews)   ," KSh1,500,000 ",  Nairobi  Automatic  Black 42000 km   Foreign Used 2013 Petrol 
802,  2013 Volkswagen Passat 1.4 TSI BlueMotion Estate     3 (1 Review)   ," KSh1,595,000 ",  Nairobi  Automatic  Black 50000 km   Foreign Used 2013 Petrol 
803,  2013 Land Rover Range Rover Evoque  ," KSh4,795,000 ",  Nairobi  Automatic  Silver 68000 km   Foreign Used 2013 Petrol 
804,  2009 Subaru Outback 2.5 Limited Wagon     5 (3 Reviews)   ," KSh1,595,000 ",  Nairobi  Automatic  Pearl 110000 km   Locally Used 2009 Petrol 
805,   2013 Toyota RAV4 2.4     5 (6 Reviews)   ," KSh2,295,000 ",  Nairobi  Automatic  Black 8200 km   Foreign Used 2013 Petrol 
806,  2013 Mercedes-Benz E250  ," KSh4,295,000 ",  Nairobi  Automatic  White 78000 km   Foreign Used 2013 Petrol 
807,  2013 Mitsubishi Mirage  ," KSh695,000 ",  Nairobi  Automatic  Black 38400 km   Foreign Used 2013 Petrol 
808,  2013 Mercedes-Benz E250  ," KSh3,100,000 ",  Mombasa  Automatic  Foreign Used 2013 Petrol 
809,  2014 Nissan X-Trail 2.0 Automatic     4 (6 Reviews)   ," KSh2,495,000 ",  Nairobi  Automatic  Dark Green 48000 km   Foreign Used 2014 Petrol 
810,  2013 Mercedes-Benz E250  ," KSh4,100,000 ",  Mombasa  Automatic  Silver Foreign Used 2013 Petrol 
811,  2013 Subaru Forester     5 (9 Reviews)   ," KSh2,400,000 ",  Mombasa  Automatic  Silver Foreign Used 2013 Petrol 
812,  2013 Mercedes-Benz S400  ," KSh4,500,000 ",  Mombasa  Automatic  Foreign Used 2013 Petrol 
813,  2013 Land Rover Range Rover Vogue  ," KSh6,300,000 ",  Mombasa  Automatic  Gold Foreign Used 2013 Petrol 
814,  2013 Mercedes-Benz E200     5 (3 Reviews)   ," KSh3,200,000 ",  Mombasa  Automatic  Foreign Used 2013 Petrol 
815,  2013 Mercedes-Benz E200     5 (3 Reviews)   ," KSh3,200,000 ",  Mombasa  Automatic  Foreign Used 2013 Petrol 
816,  2013 Mercedes-Benz E200     5 (3 Reviews)   ," KSh3,200,000 ",  Mombasa  Automatic  Silver Foreign Used 2013 Petrol 
817,  2013 Subaru XV  ," KSh1,850,000 ",  Mombasa  Automatic  Black Foreign Used 2013 Petrol 
818,  2013 Volkswagen Golf 1.4 Tsi     4 (3 Reviews)   ," KSh1,100,000 ",  Mombasa  Automatic  63000 km   Foreign Used 2013 Petrol 
819,  2013 Toyota Premio     5 (15 Reviews)   ," KSh1,550,000 ",  Mombasa  Automatic  Black 32000 km   Foreign Used 2013 Petrol 
820,  2013 Toyota Premio     5 (15 Reviews)   ," KSh1,650,000 ",  Mombasa  Automatic  Silver 27000 km   Foreign Used 2013 Petrol 
821,  2012 Mitsubishi Outlander 2.4 Automatic     4 (2 Reviews)   ," KSh1,800,000 ",  Mombasa  Automatic  Gold 65000 km   Foreign Used 2012 Petrol 
822,  2013 Honda CR-V 2.0 4WD     5 (4 Reviews)   ," KSh1,950,000 ",  Mombasa  Automatic  Black 54000 km   Foreign Used 2013 Petrol 
823,  2012 Mitsubishi Outlander 2.4 Automatic     4 (2 Reviews)   ," KSh1,850,000 ",  Mombasa  Automatic  Black 78000 km   Foreign Used 2012 Petrol 
824,  2013 Suzuki Escudo     4 (2 Reviews)   ," KSh1,780,000 ",  Mombasa  Automatic  Black 65000 km   Foreign Used 2013 Petrol 
825,  2014 Nissan X-Trail 2.0 Automatic     4 (6 Reviews)   ," KSh1,900,000 ",  Mombasa  Automatic  White 87000 km   Foreign Used 2014 Petrol 
826,  2014 Toyota Fielder     5 (8 Reviews)   ," KSh1,280,000 ",  Mombasa  Automatic  White 56000 km   Foreign Used 2014 Petrol 
827,  2013 Toyota RAV4 2.0 4x4     5 (6 Reviews)   ," KSh2,100,000 ",  Mombasa  Automatic  Black 65000 km   Foreign Used 2013 Petrol 
828,  2012 Toyota Crown Royal 2.5     5 (3 Reviews)   ," KSh1,400,000 ",  Mombasa  Automatic  Dark Blue 89000 km   Foreign Used 2012 Petrol 
829,  2014 Nissan March     5 (5 Reviews)   ," KSh650,000 ",  Mombasa  Automatic  Purple 43000 km   Foreign Used 2014 Petrol 
830,  2014 Toyota Noah     5 (6 Reviews)   ," KSh1,900,000 ",  Mombasa  Automatic  Gold 65235 km   Foreign Used 2014 Petrol 
831,  2014 Toyota Land Cruiser 202 ZX 4.6     5 (7 Reviews)   ," KSh7,700,000 ",  Mombasa  Automatic  Black 53626 km   Foreign Used 2014 Petrol 
832,  2013 Toyota Succeed     5 (1 Review)   ," KSh900,000 ",  Mombasa  Automatic  Silver 65000 km   Foreign Used 2013 Petrol 
833,  2014 Toyota Harrier     5 (8 Reviews)   ," KSh3,400,000 ",  Mombasa  Automatic  White 65820 km   Foreign Used 2014 Petrol 
834,  2013 Toyota Rush High Grade AT     3 (1 Review)   ," KSh1,350,000 ",  Mombasa  Automatic  Gold 65235 km   Foreign Used 2013 Petrol 
835,  2014 Toyota Auris 1.6 V-Matic     5 (4 Reviews)   ," KSh1,350,000 ",  Mombasa  Manual  Red 56253 km   Foreign Used 2014 Petrol 
836,  2013 Nissan Note 1.4     5 (4 Reviews)   ," KSh700,000 ",  Mombasa  Automatic  Brown 59 km    Foreign Used 2013 Petrol 
837,  2013 Toyota Passo 1.3L  ," KSh650,000 ",  Mombasa  Automatic  Brown 37000 km   Foreign Used 2013 Petrol 
838,  2013 Toyota Land Cruiser 100 VX 4.7 V8     5 (7 Reviews)   ," KSh8,000,000 ",  Mombasa  Automatic  White 56 km   Foreign Used 2013 Petrol 
839,  2013 Land Rover Range Rover Evoque 2.0 Si4  ," KSh5,500,000 ",  Mombasa  Automatic  Silver 69523 km   Foreign Used 2013 Petrol 
840,  2013 Honda CR-V 2.0 4WD     5 (4 Reviews)   ," KSh2,200,000 ",  Mombasa  Automatic  Blue 69523 km   Foreign Used 2013 Petrol 
841,  2013 Mini Cooper S Automatic  ," KSh1,600,000 ",  Mombasa  Manual  Blue 69235 km   Foreign Used 2013 Petrol 
842,  2013 Mitsubishi Outlander 2.4 Automatic     4 (2 Reviews)   ," KSh2,200,000 ",  Mombasa  Automatic  Silver 65802 km   Foreign Used 2013 Petrol 
843,  2013 Toyota Hilux 2.5 D-4D     5 (3 Reviews)   ," KSh2,350,000 ",  Mombasa  Manual  White 79 km   Foreign Used 2013 Diesel 
844,  2013 Toyota Hilux     5 (3 Reviews)   ," KSh2,350,000 ",  Mombasa  Manual  White 79 km   Foreign Used 2013 Diesel 
845,  2012 BMW X3     5 (1 Review)   ," KSh2,800,000 ",  Mombasa  Automatic  White Foreign Used 2012 Petrol 
846,  2012 Toyota Axio     4 (3 Reviews)   ," KSh1,330,000 ",  Mombasa  Manual  Gold 74000 km   Foreign Used 2012 Petrol 
847,  2013 Toyota Axio     4 (3 Reviews)   ," KSh980,000 ",  Mombasa  Automatic  White 120000 km   Foreign Used 2013 Petrol 
848,  2010 Toyota Premio     5 (15 Reviews)   ," KSh980,000 ",  Mombasa  Automatic  White 120000 km   Locally Used 2010 Petrol 
849,  2013 Toyota Sienta     5 (1 Review)   ," KSh950,000 ",  Mombasa  Automatic  White 98000 km   Foreign Used 2013 Petrol 
850,  2012 Toyota Mark X     5 (6 Reviews)   ," KSh1,900,000 ",  Mombasa  Automatic  White 120000 km   Foreign Used 2012 Petrol 
851,  Toyota Mark X     5 (6 Reviews)   ," KSh2,100,000 ",  Mombasa  Automatic  Black 120000 km   Foreign Used Petrol 
852,  2014 Toyota Noah     5 (6 Reviews)   ," KSh2,100,000 ",  Mombasa  Automatic  142000 km   Foreign Used 2014 Petrol 
853,  2014 BMW 320i Automatic  ," KSh2,100,000 ",  Mombasa  Automatic  Dark Blue 78000 km   Foreign Used 2014 Petrol 
854,  2014 Nissan X-Trail Automatic     4 (6 Reviews)   ," KSh2,200,000 ",  Mombasa  Automatic  Silver 79000 km   Foreign Used 2014 Petrol 
855,  2013 Subaru Forester     5 (9 Reviews)   ," KSh1,750,000 ",  Mombasa  Automatic  Black 78000 km   Locally Used 2013 Petrol 
856,  2013 Subaru Outback 2.5     5 (3 Reviews)   ," KSh2,200,000 ",  Mombasa  Automatic  Black 50000 km   Foreign Used 2013 Petrol 
857,  2013 Audi A4     4 (1 Review)   ," KSh2,500,000 ",  Mombasa  Foreign Used 2013 
858,  2013 Volkswagen Tiguan     4 (1 Review)   ," KSh2,100,000 ",  Mombasa  Foreign Used 2013 
859,  2013 BMW 320i  ," KSh2,300,000 ",  Mombasa  Foreign Used 2013 
860,  2013 Mazda CX-5     4 (1 Review)   ," KSh1,900,000 ",  Mombasa  Foreign Used 2013 
861,  2013 Toyota Harrier     5 (8 Reviews)   ," KSh3,500,000 ",  Mombasa  Foreign Used 2013 
862,  2013 Subaru Forester     5 (9 Reviews)   ," KSh2,500,000 ",  Mombasa  Foreign Used 2013 
863,  2013 Toyota Passo  ," KSh650,000 ",  Mombasa  Foreign Used 2013 
864,  2013 Mazda CX-5     4 (1 Review)   ," KSh2,100,000 ",  Mombasa  Foreign Used 2013 Diesel 
865,  2018 Mitsubishi Eclipse Cross  ," KSh4,000,000 ",  Mombasa  Foreign Used 2018 
